"country","temps","index","VA","Emploi","W","Productivite","LAB","chomage","pop","export","VA_pop","Part_lab","var","value","rate2010 in NAT/US$","Invest_pop","Emploi_scale"
"420","IRL",2014,12,179350.6,1936.75,26.8337940260727,111.005229717685,92331.2411209107,11.8570003509521,4657740,63221.8455214982,0.0109598108819549,0.514808654785156,"Iq_GFCF",38937.16015625,0.754309,0.00835966802703672,-0.416574599840715
"421","ITA",2014,13,1457859.2,24339.4,21.6237925732179,102.030562298203,942283.421731758,12.6829996109009,60789140,11670.834053649,0.000523015179555542,0.646347343921661,"Iq_GFCF",259767.25,0.754309,0.00427325094581039,0.337647097474096
"422","LTU",2014,14,33067.7,1317.81,6.20760654281748,114.713335815165,16675.4734085441,10.6979999542236,2932367,21618.393754109,0.00509458701125798,0.504282832145691,"Iq_GFCF",6387.91552734375,0.754846,0.00217841611481228,-0.437412222949411
"423","LUX",2014,15,44396.1,395.95,38.0435833072379,99.4897816519745,25615.7144702554,5.85200023651123,556319,231553.262127506,0.190172513280759,0.57698118686676,"Iq_GFCF",9462.9736328125,0.754309,0.0170099774280808,-0.468448141195093
"424","LVA",2014,16,20795.2,876.63,5.87909665116594,109.150538012314,11465.1905282974,10.8459997177124,1993782,15535.4971912802,0.00693069870177893,0.551338315010071,"Iq_GFCF",4639.75048828125,0.754798,0.00232711022984521,-0.452265266157306
"425","NLD",2014,17,604814,8725,32.451376935333,102.989677166063,413579.336748481,7.41599988937378,16865008,42249.1077573401,0.00281902834653433,0.683812439441681,"Iq_GFCF",118840.234375,0.754309,0.00704655665594704,-0.18803710821373
"426","PRT",2014,18,151365.1,4512.99,10.7615798844842,104.176785307423,90914.3726825357,13.8940000534058,10401062,12258.9227013758,0.00185490252443359,0.600629687309265,"Iq_GFCF",26175.62109375,0.754309,0.00251662965702445,-0.329841284563713
"427","ROU",2014,19,591797.3,8634.6,17.4064136161119,122.957552802944,302774.973071677,6.80200004577637,19908979,9580.04967638118,0.000469823542773811,0.511619389057159,"Iq_GFCF",146988.640625,3.1779,0.00738303258168086,-0.19108057143961
"428","SWE",2014,20,3490966,4737,248.261763725719,103.16944064686,1993639.06732321,7.95300006866455,9696110,21637.0205170808,0.00515186476302208,0.571085214614868,"Iq_GFCF",880246.5625,7.207524,0.0907834752802928,-0.322299623089937
"429","SVN",2014,21,32503.2,930.43,14.7871722613304,104.080646119265,23635.1191555023,9.66800022125244,2061980,25318.6160945104,0.0101346308319636,0.727162837982178,"Iq_GFCF",6977.89306640625,0.754309,0.00338407407754016,-0.450454001538364
